number,state,value,datetime_start,datetime_complete,activation,filters,kernel_size,strides,_Datetime_epoch_begin,_Datetime_epoch_end,_Trial_num,acc,loss,val_acc,val_loss,system_attrs__number
46,TrialState.COMPLETE,0.9216999994277955,2019-05-10 07:34:16.128705,2019-05-10 07:34:17.914011,linear,64,3,2,2019-05-10 07:34:17.211372,2019-05-10 07:34:17.759361,46,0.9147000000317892,0.3007579132715861,0.9216999994277955,0.27928035254478456,46
47,TrialState.COMPLETE,0.977900000667572,2019-05-10 07:34:17.919604,2019-05-10 07:34:20.998493,relu,64,5,1,2019-05-10 07:34:19.645892,2019-05-10 07:34:20.843785,47,0.9695166666984558,0.10858811313311259,0.977900000667572,0.07745870094299316,47
48,TrialState.COMPLETE,0.9796000007629394,2019-05-10 07:34:21.004244,2019-05-10 07:34:24.079372,relu,64,5,1,2019-05-10 07:34:22.729252,2019-05-10 07:34:23.923613,48,0.9714499999682109,0.10290254353086153,0.9796000007629394,0.07375949313640595,48
49,TrialState.COMPLETE,0.9711000001907348,2019-05-10 07:34:24.085153,2019-05-10 07:34:27.506165,relu,64,3,1,2019-05-10 07:34:25.987486,2019-05-10 07:34:27.343624,49,0.9586499999682109,0.14841653504371644,0.9711000001907348,0.1057665965795517,49
50,TrialState.COMPLETE,0.9180999994277954,2019-05-10 07:34:27.512415,2019-05-10 07:34:29.222536,linear,64,5,2,2019-05-10 07:34:28.552700,2019-05-10 07:34:29.071943,50,0.9127500000317892,0.3045997436364492,0.9180999994277954,0.28409422874450685,50
51,TrialState.COMPLETE,0.9781000004768372,2019-05-10 07:34:29.228610,2019-05-10 07:34:32.317041,relu,64,5,1,2019-05-10 07:34:30.961067,2019-05-10 07:34:32.161154,51,0.97125,0.10195841539502144,0.9781000004768372,0.07509007382392884,51
52,TrialState.COMPLETE,0.978000000667572,2019-05-10 07:34:32.323242,2019-05-10 07:34:35.396476,relu,64,5,1,2019-05-10 07:34:34.047207,2019-05-10 07:34:35.242157,52,0.9722833333015442,0.10131720080574354,0.978000000667572,0.07323541450500488,52
53,TrialState.COMPLETE,0.979000000667572,2019-05-10 07:34:35.403006,2019-05-10 07:34:38.482949,relu,64,5,1,2019-05-10 07:34:37.132254,2019-05-10 07:34:38.329703,53,0.9716166666666667,0.1016223674317201,0.979000000667572,0.06871983382701874,53
54,TrialState.COMPLETE,0.973800000667572,2019-05-10 07:34:38.489667,2019-05-10 07:34:41.899493,relu,64,3,1,2019-05-10 07:34:40.377970,2019-05-10 07:34:41.741308,54,0.9639833333015442,0.12976961828072867,0.973800000667572,0.09668056831359863,54
55,TrialState.COMPLETE,0.919099999332428,2019-05-10 07:34:41.906261,2019-05-10 07:34:44.562584,linear,64,5,1,2019-05-10 07:34:43.416918,2019-05-10 07:34:44.406277,55,0.9167,0.29444809991518656,0.919099999332428,0.2937843827724457,55
